Date,Production Rate
12-04-2006,5073
13-04-2006,5096
14-04-2006,5082
15-04-2006,5096
16-04-2006,3876
17-04-2006,0
18-04-2006,23
19-04-2006,4028
20-04-2006,5010
21-04-2006,5077
22-04-2006,5050
23-04-2006,5068
24-04-2006,5243
25-04-2006,5080
26-04-2006,5096
27-04-2006,5092
28-04-2006,5097
29-04-2006,5070
30-04-2006,5042
01-05-2006,4340
02-05-2006,5098
03-05-2006,5112
04-05-2006,5113
05-05-2006,5142
06-05-2006,5150
07-05-2006,4732
08-05-2006,5053
09-05-2006,5158
10-05-2006,5125
11-05-2006,5136
12-05-2006,5147
13-05-2006,4243
14-05-2006,5138
15-05-2006,5088
16-05-2006,5133
17-05-2006,4382
18-05-2006,3990
19-05-2006,5116
20-05-2006,5099
21-05-2006,5086
22-05-2006,5098
23-05-2006,5104
24-05-2006,5108
25-05-2006,5132
26-05-2006,5106
27-05-2006,4633
28-05-2006,2863
29-05-2006,689
30-05-2006,4179
31-05-2006,3828
01-06-2006,4315
02-06-2006,3538
03-06-2006,8
04-06-2006,3229
05-06-2006,3183
06-06-2006,3193
07-06-2006,3190
08-06-2006,3175
09-06-2006,3156
10-06-2006,3156
11-06-2006,3170
12-06-2006,3152
13-06-2006,3184
14-06-2006,3150
15-06-2006,3357
16-06-2006,2440
17-06-2006,2321
18-06-2006,2981
19-06-2006,3036
20-06-2006,2998
21-06-2006,3098
22-06-2006,3004
23-06-2006,921
24-06-2006,809
25-06-2006,4066
26-06-2006,4356
27-06-2006,4419
28-06-2006,4425
29-06-2006,4458
30-06-2006,4381
01-07-2006,4547
02-07-2006,5527
03-07-2006,5498
04-07-2006,5392
05-07-2006,5325
06-07-2006,4990
07-07-2006,4458
08-07-2006,2054
09-07-2006,2063
10-07-2006,2084
11-07-2006,2094
12-07-2006,2097
13-07-2006,2124
14-07-2006,2091
15-07-2006,2194
16-07-2006,2061
17-07-2006,626
18-07-2006,2031
19-07-2006,837
20-07-2006,0
21-07-2006,0
22-07-2006,0
23-07-2006,761
24-07-2006,2174
25-07-2006,500
26-07-2006,0
27-07-2006,1184
28-07-2006,4074
29-07-2006,3742
30-07-2006,4063
31-07-2006,4042
01-08-2006,4053
02-08-2006,4011
03-08-2006,3943
04-08-2006,2514
05-08-2006,2554
06-08-2006,3610
07-08-2006,2863
08-08-2006,2859
09-08-2006,3667
10-08-2006,3634
11-08-2006,3404
12-08-2006,3595
13-08-2006,3204
14-08-2006,3383
15-08-2006,3519
16-08-2006,3632
17-08-2006,3612
18-08-2006,3331
19-08-2006,3605
20-08-2006,2473
21-08-2006,3388
22-08-2006,2134
23-08-2006,2743
24-08-2006,2742
25-08-2006,2745
26-08-2006,2739
27-08-2006,2772
28-08-2006,2852
29-08-2006,2852
30-08-2006,2840
31-08-2006,2849
01-09-2006,2849
02-09-2006,2856
03-09-2006,2544
04-09-2006,2738
05-09-2006,2687
06-09-2006,2664
07-09-2006,3457
08-09-2006,3386
09-09-2006,3457
10-09-2006,3536
11-09-2006,3850
12-09-2006,3644
13-09-2006,3753
14-09-2006,2845
15-09-2006,3492
16-09-2006,3549
17-09-2006,2791
18-09-2006,4471
19-09-2006,4970
20-09-2006,5144
21-09-2006,5220
22-09-2006,5242
23-09-2006,5179
24-09-2006,5179
25-09-2006,5156
26-09-2006,5095
27-09-2006,5089
28-09-2006,5107
29-09-2006,5099
30-09-2006,5119
01-10-2006,5109
02-10-2006,5095
03-10-2006,5089
04-10-2006,5083
05-10-2006,5243
06-10-2006,5130
07-10-2006,4288
08-10-2006,5717
09-10-2006,4926
10-10-2006,5036
11-10-2006,5235
12-10-2006,5167
13-10-2006,5251
14-10-2006,2904
15-10-2006,4901
16-10-2006,5271
17-10-2006,5114
18-10-2006,5316
19-10-2006,5371
20-10-2006,5470
21-10-2006,5247
22-10-2006,5330
23-10-2006,5356
24-10-2006,5280
25-10-2006,5292
26-10-2006,5299
27-10-2006,5143
28-10-2006,5263
29-10-2006,5298
30-10-2006,5352
31-10-2006,5285
01-11-2006,5350
02-11-2006,5400
03-11-2006,5433
04-11-2006,5454
05-11-2006,5484
06-11-2006,5472
07-11-2006,5565
08-11-2006,5527
09-11-2006,5522
10-11-2006,5505
11-11-2006,5517
12-11-2006,5593
13-11-2006,5511
14-11-2006,5522
15-11-2006,5545
16-11-2006,5562
17-11-2006,5598
18-11-2006,5569
19-11-2006,5815
20-11-2006,5603
21-11-2006,5655
22-11-2006,4699
23-11-2006,5648
24-11-2006,5917
25-11-2006,5658
26-11-2006,5886
27-11-2006,5732
28-11-2006,5473
29-11-2006,5154
30-11-2006,5305
01-12-2006,4526
02-12-2006,4385
03-12-2006,4235
04-12-2006,4352
05-12-2006,4426
06-12-2006,4299
07-12-2006,4124
08-12-2006,4351
09-12-2006,4499
10-12-2006,0
11-12-2006,4495
12-12-2006,4425
13-12-2006,4425
14-12-2006,4967
15-12-2006,5586
16-12-2006,4398
17-12-2006,4388
18-12-2006,5225
19-12-2006,4402
20-12-2006,4422
21-12-2006,5438
22-12-2006,4488
23-12-2006,4430
24-12-2006,2738
25-12-2006,4189
26-12-2006,4259
27-12-2006,4393
28-12-2006,4431
29-12-2006,4498
30-12-2006,3945
31-12-2006,4331
01-01-2007,4221
02-01-2007,4057
03-01-2007,4479
04-01-2007,4436
05-01-2007,4434
06-01-2007,4440
07-01-2007,3876
08-01-2007,4536
09-01-2007,4498
10-01-2007,4487
11-01-2007,4036
12-01-2007,4422
13-01-2007,4360
14-01-2007,4433
15-01-2007,4449
16-01-2007,4593
17-01-2007,4638
18-01-2007,4474
19-01-2007,2441
20-01-2007,4366
21-01-2007,3361
22-01-2007,4021
23-01-2007,4197
24-01-2007,4693
25-01-2007,5414
26-01-2007,4870
27-01-2007,3677
28-01-2007,0
29-01-2007,614
30-01-2007,1409
31-01-2007,0
01-02-2007,3449
02-02-2007,4322
03-02-2007,4218
04-02-2007,4441
05-02-2007,4438
06-02-2007,4418
07-02-2007,4353
08-02-2007,724
09-02-2007,0
10-02-2007,0
11-02-2007,0
12-02-2007,0
13-02-2007,456
14-02-2007,4922
15-02-2007,5288
16-02-2007,5145
17-02-2007,4734
18-02-2007,4498
19-02-2007,4536
20-02-2007,5567
21-02-2007,5733
22-02-2007,5262
23-02-2007,5304
24-02-2007,5656
25-02-2007,5674
26-02-2007,5457
27-02-2007,5082
28-02-2007,5031
01-03-2007,5339
02-03-2007,5143
03-03-2007,4871
04-03-2007,5295
05-03-2007,5634
06-03-2007,4937
07-03-2007,4878
08-03-2007,4111
09-03-2007,4787
10-03-2007,4827
11-03-2007,4854
12-03-2007,4892
13-03-2007,4918
14-03-2007,4976
15-03-2007,4879
16-03-2007,4897
17-03-2007,4896
18-03-2007,4844
19-03-2007,4850
20-03-2007,442
21-03-2007,3576
22-03-2007,4620
23-03-2007,4957
24-03-2007,4941
25-03-2007,4927
26-03-2007,4832
27-03-2007,4794
28-03-2007,4702
29-03-2007,4828
30-03-2007,4828
31-03-2007,4858
01-04-2007,4862
02-04-2007,5344
03-04-2007,5153
04-04-2007,5150
05-04-2007,5174
06-04-2007,5176
07-04-2007,4928
08-04-2007,4905
09-04-2007,4979
10-04-2007,5048
11-04-2007,5057
12-04-2007,5085
13-04-2007,5242
14-04-2007,5584
15-04-2007,5567
16-04-2007,5651
17-04-2007,5583
18-04-2007,6040
19-04-2007,5570
20-04-2007,5567
21-04-2007,3943
22-04-2007,5362
23-04-2007,5482
24-04-2007,5367
25-04-2007,5357
26-04-2007,4226
27-04-2007,5004
28-04-2007,4140
29-04-2007,4680
30-04-2007,5006
01-05-2007,5405
02-05-2007,5231
03-05-2007,5223
04-05-2007,5212
05-05-2007,5259
06-05-2007,3521
07-05-2007,3440
08-05-2007,3507
09-05-2007,3499
10-05-2007,3326
11-05-2007,2942
12-05-2007,2856
13-05-2007,2841
14-05-2007,2906
15-05-2007,2943
16-05-2007,2932
17-05-2007,2923
18-05-2007,2919
19-05-2007,2904
20-05-2007,2901
21-05-2007,3473
22-05-2007,3476
23-05-2007,3557
24-05-2007,3554
25-05-2007,3542
26-05-2007,3570
27-05-2007,3580
28-05-2007,3622
29-05-2007,3571
30-05-2007,3507
31-05-2007,3498
01-06-2007,3494
02-06-2007,3455
03-06-2007,2878
04-06-2007,3600
05-06-2007,3866
06-06-2007,3849
07-06-2007,3829
08-06-2007,3856
09-06-2007,3901
10-06-2007,164
11-06-2007,3871
12-06-2007,3850
13-06-2007,3859
14-06-2007,3867
15-06-2007,3804
16-06-2007,3803
17-06-2007,1680
18-06-2007,12
19-06-2007,4564
20-06-2007,4864
21-06-2007,4577
22-06-2007,2521
23-06-2007,4527
24-06-2007,4610
25-06-2007,4617
26-06-2007,4921
27-06-2007,4752
28-06-2007,4847
29-06-2007,4929
30-06-2007,4985
01-07-2007,4998
02-07-2007,4989
03-07-2007,4994
04-07-2007,5011
05-07-2007,4986
06-07-2007,5004
07-07-2007,4992
08-07-2007,5028
09-07-2007,5167
10-07-2007,2948
11-07-2007,3978
12-07-2007,4816
13-07-2007,318
14-07-2007,0
15-07-2007,0
16-07-2007,0
17-07-2007,0
18-07-2007,0
19-07-2007,1280
20-07-2007,2443
21-07-2007,5059
22-07-2007,4754
23-07-2007,4539
24-07-2007,4475
25-07-2007,4524
26-07-2007,4628
27-07-2007,4655
28-07-2007,4680
29-07-2007,4718
30-07-2007,4665
31-07-2007,4645
01-08-2007,4668
02-08-2007,4329
03-08-2007,3413
04-08-2007,4221
05-08-2007,4214
06-08-2007,4333
07-08-2007,4700
08-08-2007,5077
09-08-2007,2283
10-08-2007,32
11-08-2007,0
12-08-2007,0
13-08-2007,0
14-08-2007,3589
15-08-2007,4891
16-08-2007,5049
17-08-2007,5044
18-08-2007,5097
19-08-2007,4593
20-08-2007,4701
21-08-2007,4653
22-08-2007,4554
23-08-2007,4581
24-08-2007,4576
25-08-2007,4618
26-08-2007,4286
27-08-2007,4462
28-08-2007,4219
29-08-2007,4909
30-08-2007,1379
31-08-2007,4408
01-09-2007,4505
02-09-2007,4666
03-09-2007,4674
04-09-2007,4637
05-09-2007,1700
06-09-2007,181
07-09-2007,4470
08-09-2007,4664
09-09-2007,4670
10-09-2007,4707
11-09-2007,4630
12-09-2007,5367
13-09-2007,5274
14-09-2007,5266
15-09-2007,5230
16-09-2007,5197
17-09-2007,3389
18-09-2007,4780
19-09-2007,4743
20-09-2007,4811
21-09-2007,4840
22-09-2007,4440
23-09-2007,4634
24-09-2007,4799
25-09-2007,4825
26-09-2007,4792
27-09-2007,4824
28-09-2007,4882
29-09-2007,4911
30-09-2007,4989
01-10-2007,5274
02-10-2007,5227
03-10-2007,4336
04-10-2007,5248
05-10-2007,5221
06-10-2007,4245
07-10-2007,4680
08-10-2007,5008
09-10-2007,5297
10-10-2007,5247
11-10-2007,5237
12-10-2007,5427
13-10-2007,5508
14-10-2007,5440
15-10-2007,5501
16-10-2007,5492
17-10-2007,6059
18-10-2007,5726
19-10-2007,5868
20-10-2007,6046
21-10-2007,6143
22-10-2007,6152
23-10-2007,5972
24-10-2007,5830
25-10-2007,6028
26-10-2007,5649
27-10-2007,5973
28-10-2007,5948
29-10-2007,5718
30-10-2007,5570
31-10-2007,2827
01-11-2007,3825
02-11-2007,4817
03-11-2007,6048
04-11-2007,5883
05-11-2007,5759
06-11-2007,5725
07-11-2007,5787
08-11-2007,5829
09-11-2007,5565
10-11-2007,6066
11-11-2007,6015
12-11-2007,6064
13-11-2007,5997
14-11-2007,6053
15-11-2007,6104
16-11-2007,6022
17-11-2007,5949
18-11-2007,5748
19-11-2007,5751
20-11-2007,5900
21-11-2007,5766
22-11-2007,4550
23-11-2007,5747
24-11-2007,5851
25-11-2007,5787
26-11-2007,5831
27-11-2007,5982
28-11-2007,5898
29-11-2007,5906
30-11-2007,5834
01-12-2007,5811
02-12-2007,5745
03-12-2007,5944
04-12-2007,5908
05-12-2007,5881
06-12-2007,5142
07-12-2007,5695
08-12-2007,5940
09-12-2007,5090
10-12-2007,5700
11-12-2007,6015
12-12-2007,6058
13-12-2007,6121
14-12-2007,6164
15-12-2007,6130
16-12-2007,6011
17-12-2007,5775
18-12-2007,5867
19-12-2007,5705
20-12-2007,5304
21-12-2007,5649
22-12-2007,5974
23-12-2007,5942
24-12-2007,5841
25-12-2007,5844
26-12-2007,5497
27-12-2007,5425
28-12-2007,2990
29-12-2007,2698
30-12-2007,5811
31-12-2007,5692
01-01-2008,4588
02-01-2008,5813
03-01-2008,5742
04-01-2008,5893
05-01-2008,5844
06-01-2008,5054
07-01-2008,5931
08-01-2008,4678
09-01-2008,4994
10-01-2008,5549
11-01-2008,0
12-01-2008,5256
13-01-2008,5953
14-01-2008,5828
15-01-2008,5023
16-01-2008,3213
17-01-2008,6750
18-01-2008,6159
19-01-2008,4941
20-01-2008,3510
21-01-2008,5280
22-01-2008,5458
23-01-2008,5919
24-01-2008,5494
25-01-2008,5869
26-01-2008,5792
27-01-2008,6010
28-01-2008,5969
29-01-2008,5962
30-01-2008,5332
31-01-2008,5479
01-02-2008,5360
02-02-2008,5454
03-02-2008,5705
04-02-2008,5781
05-02-2008,5726
06-02-2008,6130
07-02-2008,5984
08-02-2008,6237
09-02-2008,1405
10-02-2008,5907
11-02-2008,5616
12-02-2008,6174
13-02-2008,6003
14-02-2008,5808
15-02-2008,5983
16-02-2008,6054
17-02-2008,5834
18-02-2008,5833
19-02-2008,5733
20-02-2008,5712
21-02-2008,5737
22-02-2008,5004
23-02-2008,5505
24-02-2008,5555
25-02-2008,5030
26-02-2008,5296
27-02-2008,5504
28-02-2008,2080
29-02-2008,5316
01-03-2008,5467
02-03-2008,5386
03-03-2008,4751
04-03-2008,4169
05-03-2008,3159
06-03-2008,4759
07-03-2008,3288
08-03-2008,3977
09-03-2008,4798
10-03-2008,4817
11-03-2008,4886
12-03-2008,4914
13-03-2008,2757
14-03-2008,4907
15-03-2008,4641
16-03-2008,4757
17-03-2008,4787
18-03-2008,4773
19-03-2008,5272
20-03-2008,5235
21-03-2008,5185
22-03-2008,5001
23-03-2008,5057
24-03-2008,5146
25-03-2008,5002
26-03-2008,5234
27-03-2008,5394
28-03-2008,5116
29-03-2008,5345
30-03-2008,5188
31-03-2008,5161
01-04-2008,5095
02-04-2008,5085
03-04-2008,5171
04-04-2008,5323
05-04-2008,4893
06-04-2008,3801
07-04-2008,5332
08-04-2008,5106
09-04-2008,3172
10-04-2008,3130
11-04-2008,5218
12-04-2008,5123
13-04-2008,5024
14-04-2008,5368
15-04-2008,5264
16-04-2008,5289
17-04-2008,5298
18-04-2008,5125
19-04-2008,5225
20-04-2008,5028
21-04-2008,5109
22-04-2008,4858
23-04-2008,5201
24-04-2008,5316
25-04-2008,5189
26-04-2008,5269
27-04-2008,5206
28-04-2008,4330
29-04-2008,5348
30-04-2008,5345
01-05-2008,5292
02-05-2008,5271
03-05-2008,5266
04-05-2008,5141
05-05-2008,5145
06-05-2008,5141
07-05-2008,5140
08-05-2008,5106
09-05-2008,5126
10-05-2008,5129
11-05-2008,5156
12-05-2008,6058
13-05-2008,6050
14-05-2008,6059
15-05-2008,6134
16-05-2008,5983
17-05-2008,6046
18-05-2008,6100
19-05-2008,4690
20-05-2008,5982
21-05-2008,5523
22-05-2008,4364
23-05-2008,1828
24-05-2008,4159
25-05-2008,4269
26-05-2008,4261
27-05-2008,3708
28-05-2008,4590
29-05-2008,4824
30-05-2008,4826
31-05-2008,4844
01-06-2008,5087
02-06-2008,5103
03-06-2008,5113
04-06-2008,5108
05-06-2008,5117
06-06-2008,5116
07-06-2008,5116
08-06-2008,5092
09-06-2008,5092
10-06-2008,5097
11-06-2008,5106
12-06-2008,5120
13-06-2008,5114
14-06-2008,4587
15-06-2008,5235
16-06-2008,4379
17-06-2008,5254
18-06-2008,5270
19-06-2008,5183
20-06-2008,5196
21-06-2008,5201
22-06-2008,5214
23-06-2008,5212
24-06-2008,4922
25-06-2008,0
26-06-2008,0
27-06-2008,0
28-06-2008,0
29-06-2008,0
30-06-2008,0
01-07-2008,0
02-07-2008,0
03-07-2008,0
04-07-2008,3148
05-07-2008,2932
06-07-2008,2736
07-07-2008,3096
08-07-2008,4600
09-07-2008,4827
10-07-2008,5090
11-07-2008,5332
12-07-2008,5229
13-07-2008,5509
14-07-2008,5340
15-07-2008,5503
16-07-2008,4979
17-07-2008,5068
18-07-2008,5479
19-07-2008,5584
20-07-2008,5559
21-07-2008,6186
22-07-2008,6113
23-07-2008,6049
24-07-2008,4604
25-07-2008,5876
26-07-2008,4827
27-07-2008,558
28-07-2008,2037
29-07-2008,0
30-07-2008,4707
31-07-2008,5422
01-08-2008,4998
02-08-2008,5143
03-08-2008,4790
04-08-2008,5125
05-08-2008,3108
06-08-2008,4166
07-08-2008,4934
08-08-2008,4734
09-08-2008,3619
10-08-2008,3219
11-08-2008,4834
12-08-2008,5301
13-08-2008,2641
14-08-2008,5280
15-08-2008,5073
16-08-2008,5252
17-08-2008,5136
18-08-2008,5033
19-08-2008,4976
20-08-2008,5009
21-08-2008,4987
22-08-2008,5014
23-08-2008,5022
24-08-2008,5095
25-08-2008,5098
26-08-2008,5128
27-08-2008,5078
28-08-2008,5140
29-08-2008,5133
30-08-2008,5179
31-08-2008,5114
01-09-2008,5101
02-09-2008,5107
03-09-2008,5095
04-09-2008,5125
05-09-2008,5354
06-09-2008,5089
07-09-2008,5013
08-09-2008,5031
09-09-2008,5070
10-09-2008,4980
11-09-2008,4975
12-09-2008,5006
13-09-2008,4275
14-09-2008,5376
15-09-2008,5095
16-09-2008,5211
17-09-2008,5325
18-09-2008,5266
19-09-2008,5365
20-09-2008,595
21-09-2008,3911
22-09-2008,3710
23-09-2008,4940
24-09-2008,4964
25-09-2008,5027
26-09-2008,4987
27-09-2008,5319
28-09-2008,5138
29-09-2008,5192
30-09-2008,5245
01-10-2008,5294
02-10-2008,5333
03-10-2008,5368
04-10-2008,5312
05-10-2008,5290
06-10-2008,5231
07-10-2008,5194
08-10-2008,5205
09-10-2008,5202
10-10-2008,5119
11-10-2008,5201
12-10-2008,5020
13-10-2008,5025
14-10-2008,4399
15-10-2008,5112
16-10-2008,5035
17-10-2008,5052
18-10-2008,5111
19-10-2008,5167
20-10-2008,5083
21-10-2008,5036
22-10-2008,5039
23-10-2008,5100
24-10-2008,5009
25-10-2008,5027
26-10-2008,5080
27-10-2008,5097
28-10-2008,5199
29-10-2008,5172
30-10-2008,5158
31-10-2008,5123
01-11-2008,5114
02-11-2008,4267
03-11-2008,4982
04-11-2008,4944
05-11-2008,5051
06-11-2008,4881
07-11-2008,5163
08-11-2008,5236
09-11-2008,5325
10-11-2008,5286
11-11-2008,5292
12-11-2008,5301
13-11-2008,5302
14-11-2008,5128
15-11-2008,5111
16-11-2008,5111
17-11-2008,5306
18-11-2008,5524
19-11-2008,5427
20-11-2008,5453
21-11-2008,5436
22-11-2008,5247
23-11-2008,5243
24-11-2008,5238
25-11-2008,5158
26-11-2008,5201
27-11-2008,5095
28-11-2008,5126
29-11-2008,5135
30-11-2008,5106
01-12-2008,5102
02-12-2008,5102
03-12-2008,5115
04-12-2008,5187
05-12-2008,5182
06-12-2008,5115
07-12-2008,3161
08-12-2008,2269
09-12-2008,5094
10-12-2008,5323
11-12-2008,5137
12-12-2008,5279
13-12-2008,5201
14-12-2008,5412
15-12-2008,5186
16-12-2008,3875
17-12-2008,1675
18-12-2008,2463
19-12-2008,5453
20-12-2008,4823
21-12-2008,5020
22-12-2008,4997
23-12-2008,5219
24-12-2008,5072
25-12-2008,4873
26-12-2008,4872
27-12-2008,4883
28-12-2008,4834
29-12-2008,4771
30-12-2008,4772
31-12-2008,4766
01-01-2009,4807
02-01-2009,4743
03-01-2009,4700
04-01-2009,4784
05-01-2009,4752
06-01-2009,4765
07-01-2009,4718
08-01-2009,4752
09-01-2009,4727
10-01-2009,4745
11-01-2009,4495
12-01-2009,4928
13-01-2009,5112
14-01-2009,4947
15-01-2009,5023
16-01-2009,5023
17-01-2009,2116
18-01-2009,5132
19-01-2009,5298
20-01-2009,5370
21-01-2009,5380
22-01-2009,5183
23-01-2009,4960
24-01-2009,5064
25-01-2009,5040
26-01-2009,4999
27-01-2009,4895
28-01-2009,5080
29-01-2009,5058
30-01-2009,5044
31-01-2009,4994
01-02-2009,5051
02-02-2009,5039
03-02-2009,5040
04-02-2009,5042
05-02-2009,5263
06-02-2009,5176
07-02-2009,5037
08-02-2009,5161
09-02-2009,5117
10-02-2009,5037
11-02-2009,5072
12-02-2009,4981
13-02-2009,4867
14-02-2009,5086
15-02-2009,5179
16-02-2009,5206
17-02-2009,5217
18-02-2009,5275
19-02-2009,5165
20-02-2009,1293
21-02-2009,5227
22-02-2009,5202
23-02-2009,5200
24-02-2009,5208
25-02-2009,5212
26-02-2009,5220
27-02-2009,5225
28-02-2009,5120
01-03-2009,5114
02-03-2009,5117
03-03-2009,5113
04-03-2009,5108
05-03-2009,5034
06-03-2009,5106
07-03-2009,5106
08-03-2009,5102
09-03-2009,5098
10-03-2009,5095
11-03-2009,5090
12-03-2009,5090
13-03-2009,4141
14-03-2009,4786
15-03-2009,5129
16-03-2009,5144
17-03-2009,5152
18-03-2009,5146
19-03-2009,5150
20-03-2009,5028
21-03-2009,4656
22-03-2009,5005
23-03-2009,5057
24-03-2009,5048
25-03-2009,5149
26-03-2009,5175
27-03-2009,5190
28-03-2009,5184
29-03-2009,5181
30-03-2009,5184
31-03-2009,5122
01-04-2009,5098
02-04-2009,5103
03-04-2009,5094
04-04-2009,3140
05-04-2009,4943
06-04-2009,5078
07-04-2009,5095
08-04-2009,5080
09-04-2009,5078
10-04-2009,5052
11-04-2009,5057
12-04-2009,5068
13-04-2009,5070
14-04-2009,5067
15-04-2009,5070
16-04-2009,5071
17-04-2009,5069
18-04-2009,4969
19-04-2009,5079
20-04-2009,5076
21-04-2009,5084
22-04-2009,2349
23-04-2009,0
24-04-2009,0
25-04-2009,3977
26-04-2009,1485
27-04-2009,1194
28-04-2009,1754
29-04-2009,0
30-04-2009,793
01-05-2009,3321
02-05-2009,0
03-05-2009,3137
04-05-2009,3842
05-05-2009,0
06-05-2009,0
07-05-2009,280
08-05-2009,2063
09-05-2009,0
10-05-2009,0
11-05-2009,4064
12-05-2009,4546
13-05-2009,1232
14-05-2009,0
15-05-2009,0
16-05-2009,3206
17-05-2009,3834
18-05-2009,0
19-05-2009,834
20-05-2009,4474
21-05-2009,314
22-05-2009,0
23-05-2009,0
24-05-2009,0
25-05-2009,0
26-05-2009,1225
27-05-2009,4548
28-05-2009,4976
29-05-2009,4788
30-05-2009,4810
31-05-2009,4827
01-06-2009,5031
02-06-2009,5110
03-06-2009,5116
04-06-2009,5105
05-06-2009,5100
06-06-2009,5121
07-06-2009,5103
08-06-2009,5089
09-06-2009,5097
10-06-2009,5110
11-06-2009,5106
12-06-2009,5105
13-06-2009,5108
14-06-2009,5115
15-06-2009,5103
16-06-2009,4974
17-06-2009,4056
18-06-2009,4970
19-06-2009,4991
20-06-2009,4948
21-06-2009,4885
22-06-2009,4870
23-06-2009,4854
24-06-2009,4787
25-06-2009,4783
26-06-2009,4780
27-06-2009,4778
28-06-2009,4773
29-06-2009,4890
30-06-2009,4846
01-07-2009,4794
02-07-2009,4798
03-07-2009,4797
04-07-2009,4799
05-07-2009,3004
06-07-2009,5757
07-07-2009,5267
08-07-2009,4835
09-07-2009,4700
10-07-2009,4849
11-07-2009,4631
12-07-2009,4634
13-07-2009,4584
14-07-2009,4472
15-07-2009,4384
16-07-2009,4326
17-07-2009,4315
18-07-2009,4319
19-07-2009,4320
20-07-2009,4793
21-07-2009,4760
22-07-2009,4841
23-07-2009,4814
24-07-2009,4849
25-07-2009,4892
26-07-2009,4894
27-07-2009,4900
28-07-2009,4896
29-07-2009,1961
30-07-2009,2261
31-07-2009,5037
01-08-2009,5239
02-08-2009,5055
03-08-2009,5106
04-08-2009,5116
05-08-2009,3556
06-08-2009,2945
07-08-2009,0
08-08-2009,0
09-08-2009,0
10-08-2009,0
11-08-2009,0
12-08-2009,0
13-08-2009,0
14-08-2009,0
15-08-2009,0
16-08-2009,0
17-08-2009,0
18-08-2009,0
19-08-2009,0
20-08-2009,0
21-08-2009,0
22-08-2009,0
23-08-2009,927
24-08-2009,5137
25-08-2009,5191
26-08-2009,5141
27-08-2009,5154
28-08-2009,5157
29-08-2009,2237
30-08-2009,2548
31-08-2009,5232
01-09-2009,5253
02-09-2009,5240
03-09-2009,5204
04-09-2009,5208
05-09-2009,5210
06-09-2009,5206
07-09-2009,5203
08-09-2009,5195
09-09-2009,5199
10-09-2009,5197
11-09-2009,5035
12-09-2009,3686
13-09-2009,3868
14-09-2009,2694
15-09-2009,312
16-09-2009,3625
17-09-2009,2637
18-09-2009,0
19-09-2009,5163
20-09-2009,4716
21-09-2009,0
22-09-2009,4964
23-09-2009,4645
24-09-2009,4032
25-09-2009,2920
26-09-2009,5013
27-09-2009,4965
28-09-2009,4915
29-09-2009,4953
30-09-2009,4945
01-10-2009,3403
02-10-2009,10
03-10-2009,2920
04-10-2009,1983
05-10-2009,0
06-10-2009,4999
07-10-2009,5085
08-10-2009,5071
09-10-2009,4777
10-10-2009,337
11-10-2009,5037
12-10-2009,5009
13-10-2009,4848
14-10-2009,5175
15-10-2009,5087
16-10-2009,4877
17-10-2009,2171
18-10-2009,2491
19-10-2009,4968
20-10-2009,4965
21-10-2009,2931
22-10-2009,2251
23-10-2009,5077
24-10-2009,6265
25-10-2009,5709
26-10-2009,5030
27-10-2009,5056
28-10-2009,5398
29-10-2009,5413
30-10-2009,5431
31-10-2009,5440
01-11-2009,5442
02-11-2009,5493
03-11-2009,5549
04-11-2009,4178
05-11-2009,7190
06-11-2009,7059
07-11-2009,5616
08-11-2009,5472
